experiment,benchmark,tau,method,rep,d,r,rank_hat,queries,discovery_queries,subspace_error,best_noisy_value,final_value,regret,batch,rep_global
optimization,rastrigin,0.02,cross_block_known,0,12,2,2,3999,720,0.0067389293002519,0.0513867351090677,0.0823475573713553,0.0823475573713553,1,2
optimization,rastrigin,0.02,cross_block_adaptive,0,12,2,2,3999,720,0.0093679015285706,-0.0068370116922252,0.0451251609150902,0.0451251609150902,1,2
optimization,rastrigin,0.02,cross_sparse_known,0,12,2,2,3999,600,0.3868869746936746,0.0100536427042398,0.0398170139341482,0.0398170139341482,1,2
optimization,rastrigin,0.02,random_subspace,0,12,2,2,3999,0,0.9966178636752684,0.1489113298239657,0.2046303757552151,0.2046303757552151,1,2
optimization,rastrigin,0.02,full_zo,0,12,2,12,3999,0,1.0,-0.0382146384096236,0.0277905791687186,0.0277905791687186,1,2
optimization,rastrigin,0.02,oracle_subspace,1,12,2,2,3999,0,0.0,0.0333880261592495,0.0401336596096509,0.0401336596096509,1,3
optimization,rastrigin,0.02,cross_block_known,1,12,2,2,3999,720,0.0089989067960129,0.0291189312146901,0.0475185196577477,0.0475185196577477,1,3
optimization,rastrigin,0.02,cross_block_adaptive,1,12,2,2,3999,720,0.0087348183056601,0.0392233229051345,0.0590498981579999,0.0590498981579999,1,3
optimization,rastrigin,0.02,cross_sparse_known,1,12,2,2,3999,600,0.4548798407992214,0.0156987381588194,0.0391577457966704,0.0391577457966704,1,3
optimization,rastrigin,0.02,random_subspace,1,12,2,2,3999,0,0.9087258015362194,0.0033014528689013,0.0757910941400441,0.0757910941400441,1,3
optimization,rastrigin,0.02,full_zo,1,12,2,12,3999,0,1.0,-0.0317024378030422,0.0213374449169446,0.0213374449169446,1,3
optimization,rosenbrock,0.0,oracle_subspace,0,12,2,2,3999,0,2.1073424255447017e-08,-0.0125740074952019,0.0394801601979174,0.0394801601979174,1,2
optimization,rosenbrock,0.0,cross_block_known,0,12,2,2,3999,720,0.0023900315301954,0.0166949337341158,0.0620091693195719,0.0620091693195719,1,2
optimization,rosenbrock,0.0,cross_block_adaptive,0,12,2,1,3999,720,1.0,1.3655961665735776,1.4283187047119537,1.4283187047119537,1,2
optimization,rosenbrock,0.0,cross_sparse_known,0,12,2,2,3999,600,0.9437584428560928,0.140580378407911,0.1800711447876062,0.1800711447876062,1,2
optimization,rosenbrock,0.0,random_subspace,0,12,2,2,3999,0,0.9990097219051524,0.969095187596246,1.0241503916749068,1.0241503916749068,1,2
optimization,rosenbrock,0.0,full_zo,0,12,2,12,3999,0,1.0,-0.0033058650018468,0.0294269903611699,0.0294269903611699,1,2
optimization,rosenbrock,0.0,oracle_subspace,1,12,2,2,3999,0,2.1073424255447017e-08,0.1204506604278376,0.1598059418074509,0.1598059418074509,1,3
optimization,rosenbrock,0.0,cross_block_known,1,12,2,2,3999,720,0.0012063374689483,0.1947232383893537,0.2502255403878582,0.2502255403878582,1,3
optimization,rosenbrock,0.0,cross_block_adaptive,1,12,2,2,3999,720,0.0014050194268784,0.173790764219275,0.1933314687659824,0.1933314687659824,1,3
optimization,rosenbrock,0.0,cross_sparse_known,1,12,2,2,3999,600,0.518559333784237,0.203626194954046,0.2554660160789794,0.2554660160789794,1,3
optimization,rosenbrock,0.0,random_subspace,1,12,2,2,3999,0,0.9893023302515336,0.6524174924074706,0.7170154138244349,0.7170154138244349,1,3
optimization,rosenbrock,0.0,full_zo,1,12,2,12,3999,0,1.0,0.1184257588112537,0.1449461297022175,0.1449461297022175,1,3
optimization,rosenbrock,0.02,oracle_subspace,0,12,2,2,3999,0,0.0,-0.0015592430104147,0.0538817799421935,0.0538817799421935,1,2
optimization,rosenbrock,0.02,cross_block_known,0,12,2,2,3999,720,0.0020950612989403,0.0122185665376179,0.0581216893299144,0.0581216893299144,1,2
optimization,rosenbrock,0.02,cross_block_adaptive,0,12,2,2,3999,720,0.0024813230577633,0.0216316954547803,0.0613853552257689,0.0613853552257689,1,2
optimization,rosenbrock,0.02,cross_sparse_known,0,12,2,2,3999,600,0.9583192737898476,0.0298183850788009,0.0892935833422913,0.0892935833422913,1,2
optimization,rosenbrock,0.02,random_subspace,0,12,2,2,3999,0,0.999895672395808,1.386849590236367,1.4437429465372789,1.4437429465372789,1,2
optimization,rosenbrock,0.02,full_zo,0,12,2,12,3999,0,1.0,-0.0102287274850183,0.0468908181530289,0.0468908181530289,1,2
