experiment,method,rep,d,r,n_anchors,queries,operator_error,frobenius_error,subspace_error,rank_hat
moment_bias,outer_trace,6,12,2,160,2560,0.2547314798178802,0.2983568505359867,0.0911783907083832,2
moment_bias,cross,6,12,2,320,5120,0.2003487728864518,0.244527369597292,0.1441684192373222,2
moment_bias,outer,6,12,2,320,5120,0.1579797768080434,0.2620144920160711,0.0738312558538346,2
moment_bias,outer_trace,6,12,2,320,5120,0.096421520871313,0.2145310785222786,0.1068150045683356,2
moment_bias,cross,6,12,2,640,10240,0.1234627932071995,0.1992982060768558,0.1961291975667334,2
moment_bias,outer,6,12,2,640,10240,0.2043956411972473,0.2877089795691764,0.061919415857286,2
moment_bias,outer_trace,6,12,2,640,10240,0.1270376589786512,0.2098840225320341,0.0723885741648567,2
moment_bias,cross,6,12,2,1280,20480,0.0855230147358927,0.1415152959341573,0.1635017927372399,2
moment_bias,outer,6,12,2,1280,20480,0.1046841371127019,0.2294552478599553,0.0495824438369228,2
moment_bias,outer_trace,6,12,2,1280,20480,0.0945332082187626,0.1834495346254664,0.028361739075775,2
moment_bias,cross,7,12,2,80,1280,0.70046569063137,0.7669569800287023,0.4894922607963759,2
moment_bias,outer,7,12,2,80,1280,0.648053925650722,0.6946893362030145,0.2595386871123327,2
moment_bias,outer_trace,7,12,2,80,1280,0.2734865890140859,0.3612787894907032,0.291241163248539,2
moment_bias,cross,7,12,2,160,2560,0.3579677493132976,0.4273069358988897,0.3636485585729754,2
moment_bias,outer,7,12,2,160,2560,0.2720251890186323,0.3629691857637121,0.1799806989180963,2
moment_bias,outer_trace,7,12,2,160,2560,0.251789998469306,0.3229603274103612,0.1216008166277441,2
